"filename", "language", "JavaScript", "JSON with Comments", "Svelte", "TypeScript", "CSS", "HTML", "Markdown", "JSON", "Docker", "Prisma", "YAML", "comment", "blank", "total"
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\SchoolDataSection.svelte", "Svelte", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\StudentInfo.svelte", "Svelte", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\AddressInput.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\BigSelectInput.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\ImageSelect.svelte", "Svelte", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\ProgressBar.svelte", "Svelte", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\RadioInput.svelte", "Svelte", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\SelectInput.svelte", "Svelte", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\TextInput.svelte", "Svelte", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\justi\Desktop\toyo\toyo\src\lib\headers\HighlightTitle.svelte", "Svelte", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\justi\Desktop\toyo\toyo\src\lib\headers\SubHeading.svelte", "Svelte", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero.svelte", "Svelte", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 100
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\Hero.svelte", "Svelte", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroCTABox.svelte", "Svelte", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroDefs.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroImage.svelte", "Svelte", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroImageCarousel.svelte", "Svelte", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
